voting_id,voting_external_id,voting_date,voting_affair_external_id,voting_affair_number,voting_title_fr,voting_url_fr,voting_results_yes,voting_results_no,voting_results_abstention,voting_affair_title_fr,Référence,type_vote,Intitulé,Rubrique,Chapitre,Intitulé chapitre,Intitulé rubrique
142652,030202_AN-PL13343A,2024-05-30 17:31:00,PL 13343,PL 13343,"PL 13343-A, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030202/AN-PL13343A.pdf,73.0,23.0,0.0,Modifiant la loi portant règlement du Grand Conseil de la République et canton de Genève (LRGC) (B 1 01) (Séance d'ouverture de la législature - allocution de la benjamine ou du benjamin),B 1 01,PL,Loi portant règlement du Grand Conseil de la République et canton de Genève (LRGC),B,B 1,Pouvoirs législatif et exécutif,Organisation du canton
142686,030201_AN-PL13402A,2024-05-03 19:14:00,PL 13402,PL 13402,"PL 13402-A, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030201/AN-PL13402A.pdf,65.0,32.0,0.0,Modifiant la loi sur l'imposition des personnes physiques (LIPP) (D 3 08) (Renforcer le pouvoir d'achat et les recettes fiscales),D 3 08,PL,Loi sur l’imposition des personnes physiques (LIPP),D,D 3,Impôts et taxes,Finances et contributions
142655,030201_AN-PL13344A,2024-05-02 23:08:00,PL 13344,PL 13344,"PL 13344-A, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030201/AN-PL13344A.pdf,47.0,50.0,0.0,Modifiant la loi sur les Transports publics genevois (LTPG) (H 1 55) (Plus d'autonomie pour les TPG en matière de tarification),H 1 55,PL,Loi sur les Transports publics genevois (LTPG),H,H 1,Circulation,Transports et communications
142661,030201_AN-PL13358A-3,2024-05-02 21:59:00,PL 13358,PL 13358,"PL 13358-A, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030201/AN-PL13358A-3.pdf,66.0,32.0,0.0,Modifiant la loi générale sur les zones de développement (LGZD) (L 1 35) (Contreprojet à l'IN 176),L 1 35,PL,Loi générale sur les zones de développement (LGZD),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
142660,030201_AN-PL13358A-2,2024-05-02 21:58:00,PL 13358,PL 13358,"PL 13358-A, vote nominal : 2e débat : amendement de D. Martin Art. 5A, al. 5, phrase introductive (nouvelle teneur) et lettre d (biffée)",https://ge.ch/grandconseil/data/odj/030201/AN-PL13358A-2.pdf,32.0,65.0,1.0,Modifiant la loi générale sur les zones de développement (LGZD) (L 1 35) (Contreprojet à l'IN 176),L 1 35,PL,Loi générale sur les zones de développement (LGZD),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
142659,030201_AN-PL13358A-1,2024-05-02 21:56:00,PL 13358,PL 13358,"PL 13358-A, vote nominal : 1er débat",https://ge.ch/grandconseil/data/odj/030201/AN-PL13358A-1.pdf,96.0,0.0,0.0,Modifiant la loi générale sur les zones de développement (LGZD) (L 1 35) (Contreprojet à l'IN 176),L 1 35,PL,Loi générale sur les zones de développement (LGZD),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
142621,030110_AN-PL13235B,2024-03-21 22:34:00,PL 13235,PL 13235,"PL 13235-B, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030110/AN-PL13235B.pdf,71.0,12.0,0.0,Modifiant la loi générale sur les zones de développement (LGZD) (L 1 35) (Déclaration d'utilité publique),L 1 35,PL,Loi générale sur les zones de développement (LGZD),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
142654,030110_AN-PL13344A-2,2024-03-21 22:06:00,PL 13344,PL 13344,"PL 13344-A, vote nominal : 2e débat Amendement de C. Marti tel qu'amendé par le sous-amendement de P. Nicollier Art. 36, al. 2 (nouvelle teneur)",https://ge.ch/grandconseil/data/odj/030110/AN-PL13344A-2.pdf,43.0,51.0,0.0,Modifiant la loi sur les Transports publics genevois (LTPG) (H 1 55) (Plus d'autonomie pour les TPG en matière de tarification),H 1 55,PL,Loi sur les Transports publics genevois (LTPG),H,H 1,Circulation,Transports et communications
142653,030110_AN-PL13344A-1,2024-03-21 22:05:00,PL 13344,PL 13344,"PL 13344-A, vote nominal : 2e débat Sous-amendement de P. Nicollier à l'amendement de C. Marti - art. 36, al. 2 (nouvelle teneur)",https://ge.ch/grandconseil/data/odj/030110/AN-PL13344A-1.pdf,75.0,18.0,0.0,Modifiant la loi sur les Transports publics genevois (LTPG) (H 1 55) (Plus d'autonomie pour les TPG en matière de tarification),H 1 55,PL,Loi sur les Transports publics genevois (LTPG),H,H 1,Circulation,Transports et communications
142499,030110_AN-PL12593E,2024-03-21 21:11:00,PL 12593,PL 12593,"PL 12593-E, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030110/AN-PL12593E.pdf,75.0,1.0,0.0,Modifiant la loi sur l'énergie (LEn) (L 2 30) (Pour un abaissement des seuils IDC),L 2 30,PL,Loi sur l’énergie (LEn),L,L 2,Eaux et énergies,Domaine public et travaux
142685,030110_AN-PL13398,2024-03-21 17:59:00,PL 13398,PL 13398,"PL 13398, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030110/AN-PL13398.pdf,84.0,12.0,0.0,"Modifiant la loi portant règlement du Grand Conseil de la République et canton de Genève (LRGC) (B 1 01) (Application de l'art. 109, al. 5 Cst-GE)",B 1 01,PL,Loi portant règlement du Grand Conseil de la République et canton de Genève (LRGC),B,B 1,Pouvoirs législatif et exécutif,Organisation du canton
142683,030109_AN-PL13396A,2024-02-29 23:02:00,PL 13396,PL 13396,"PL 13396-A, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030109/AN-PL13396A.pdf,75.0,3.0,10.0,Modifiant la loi sur la médiation administrative (LMéd-GE) (B 1 40),B 1 40,PL,Loi sur la médiation administrative (LMéd-GE),B,B 1,Pouvoirs législatif et exécutif,Organisation du canton
142469,030108_AN-PL11926A-4,2024-02-02 19:30:00,PL 11926,PL 11926,"PL 11926-A, vote nominal : 3e débat",https://ge.ch/grandconseil/data/odj/030108/AN-PL11926A-4.pdf,64.0,31.0,0.0,Modifiant la loi sur l'instruction publique (LIP) (C 1 10) (Formation des enseignants du primaire en 3 ans),C 1 10,PL,Loi sur l’instruction publique (LIP),C,C 1,Instruction publique,"Instruction publique, culture"
142468,030108_AN-PL11926A-3,2024-02-02 19:29:00,PL 11926,PL 11926,"PL 11926-A, vote nominal : 2e débat : amendement de C. Marti Art. 3 (souligné) (nouveau)",https://ge.ch/grandconseil/data/odj/030108/AN-PL11926A-3.pdf,44.0,51.0,0.0,Modifiant la loi sur l'instruction publique (LIP) (C 1 10) (Formation des enseignants du primaire en 3 ans),C 1 10,PL,Loi sur l’instruction publique (LIP),C,C 1,Instruction publique,"Instruction publique, culture"
