person_external_id,person_fullname,person_firstname,person_lastname,person_party_fr,person_website_parliament_url_fr,person_image_url,person_birthday,person_occupation_fr,person_gender,person_function_latest_fr
75,Pascal Pétroz,Pascal,Pétroz,PDC,https://ge.ch/grandconseil/gc/depute/75/,https://ge.ch/grandconseil/data/deputes/depute_photo_f95f19704a75c7dc7dd93b2614d14d3c.jpg,1971-01-01,Avocat,m,
72,Salima Moyard,Salima,Moyard,S,https://ge.ch/grandconseil/gc/depute/72/,https://ge.ch/grandconseil/data/deputes/depute_photo_7b8c293dc65b69cb7e5e7545a3eaadcb.jpg,1983-01-01,Enseignante,f,
70,Alain Meylan,Alain,Meylan,L,https://ge.ch/grandconseil/gc/depute/70/,https://ge.ch/grandconseil/data/deputes/depute_photo_5fa0d6617726cfabbe6d39c83edd4396.jpg,1962-01-01,Directeur secrétaire d’associations professionnelles,m,
71,Philippe Morel,Philippe,Morel,MCG,https://ge.ch/grandconseil/gc/depute/71/,https://ge.ch/grandconseil/data/deputes/depute_photo_b8751548c3b5b587ef567bd3097d53fe.jpg,1952-01-01,Chirurgien,m,
73,Sylvia Nissim,Sylvia,Nissim,Ve,https://ge.ch/grandconseil/gc/depute/73/,https://ge.ch/grandconseil/data/deputes/depute_photo_37fe553afac3bd99a79b8e371fad9393.jpg,1983-01-01,Assistante à la Haute Ecole de Santé de Genève (HEDS),f,
67,Vincent Maitre,Vincent,Maitre,PDC,https://ge.ch/grandconseil/gc/depute/67/,https://ge.ch/grandconseil/data/deputes/depute_photo_2028fd4ab1751f19212d39847ab47d4b.jpg,1981-01-01,Avocat,m,
7,Antoine Barde,Antoine,Barde,PLR,https://ge.ch/grandconseil/gc/depute/7/,https://ge.ch/grandconseil/data/deputes/depute_photo_0a9f3b4769056140e2bd816a4de8ce9a.jpg,1975-01-01,"Directeur administratif, Fondation Phenix",m,
63,Miguel Limpo,Miguel,Limpo,Ve,https://ge.ch/grandconseil/gc/depute/63/,https://ge.ch/grandconseil/data/deputes/depute_photo_01f5a45a0f4b351835e48c75be2d5ba4.jpg,1981-01-01,Chargé de communication,m,
64,Pierre Losio,Pierre,Losio,Ve,https://ge.ch/grandconseil/gc/depute/64/,https://ge.ch/grandconseil/data/deputes/depute_photo_e00a697d294b58ade14052b3352c464b.jpg,1947-01-01,Retraité,m,
6,Guillaume Barazzone,Guillaume,Barazzone,PDC,https://ge.ch/grandconseil/gc/depute/6/,https://ge.ch/grandconseil/data/deputes/depute_photo_3c6506c5819607e15c3e94ed4b35664d.jpg,1982-01-01,,m,
66,Anne Mahrer,Anne,Mahrer,Ve,https://ge.ch/grandconseil/gc/depute/66/,https://ge.ch/grandconseil/data/deputes/depute_photo_700cd780ac1b04d5ceda924e416b62d4.jpg,1948-01-01,Retraitée,f,
61,François Lefort,François,Lefort,Ve,https://ge.ch/grandconseil/gc/depute/61/,https://ge.ch/grandconseil/data/deputes/depute_photo_f5e5aa48e9ac642ae243387b341f37c1.jpg,1962-01-01,"Professeur HES ordinaire, HES-SO Genève, HEPIA",m,
60,Patricia Läser,Patricia,Läser,R,https://ge.ch/grandconseil/gc/depute/60/,https://ge.ch/grandconseil/data/deputes/depute_photo_8e7ef07ba182c09337dc62afc491b148.jpg,1960-01-01,Paysanne et Direction de PME,f,
62,Eric Leyvraz,Eric,Leyvraz,UDC,https://ge.ch/grandconseil/gc/depute/62/,https://ge.ch/grandconseil/data/deputes/depute_photo_ba5a9fe3a48a34ec630cc00593f71468.jpg,1946-01-01,Vigneron,m,
58,Claude Jeanneret,Claude,Jeanneret,MCG,https://ge.ch/grandconseil/gc/depute/58/,https://ge.ch/grandconseil/data/deputes/depute_photo_fe06810a0e12a99585c7fb06f649a734.jpg,1943-01-01,Fiduciaire,m,
583,Mathilde Chaix,Mathilde,Chaix,L,https://ge.ch/grandconseil/gc/depute/583/,https://ge.ch/grandconseil/data/deputes/depute_photo_1086beb0aa0c13c3271576fb77399c52.jpg,1962-01-01,Chef de projet,f,
581,Martine Roset,Martine,Roset,PDC,https://ge.ch/grandconseil/gc/depute/581/,https://ge.ch/grandconseil/data/deputes/depute_photo_5d1163c17b40083d18f01ff4e3e3447f.jpg,1962-01-01,Vigneronne / Aménagiste / Conseillère administrative,f,
59,Olivier Jornot,Olivier,Jornot,L,https://ge.ch/grandconseil/gc/depute/59/,https://ge.ch/grandconseil/data/deputes/depute_photo_666438ed04581d88e61c6dd4fae664d6.jpg,1969-01-01,Avocat,m,
54,Serge Hiltpold,Serge,Hiltpold,PLR,https://ge.ch/grandconseil/gc/depute/54/,https://ge.ch/grandconseil/data/deputes/depute_photo_21cf8cb76edb97195997bd71afa8d16c.jpg,1971-01-01,"Entrepreneur Menuisier, Hiltpold SA Menuiserie et Agencement, Vernier",m,
578,Bertrand Buchs,Bertrand,Buchs,PDC,https://ge.ch/grandconseil/gc/depute/578/,https://ge.ch/grandconseil/data/deputes/depute_photo_d1402a52366f9b1e54f45e75dd893b99.jpg,1957-01-01,Médecin rhumatologue (indépendant),m,
51,Jean-Michel Gros,Jean-Michel,Gros,L,https://ge.ch/grandconseil/gc/depute/51/,https://ge.ch/grandconseil/data/deputes/depute_photo_f89fb7e65e5b38149b230a3faecca504.jpg,1953-01-01,Viticulteur,m,
553,Isabel Rochat,Isabel,Rochat,L,https://ge.ch/grandconseil/gc/depute/553/,https://ge.ch/grandconseil/data/deputes/depute_photo_0e2dca56811b3773bbfb7748d2755e48.jpg,1954-01-01,,f,
55,Frédéric Hohl,Frédéric,Hohl,PLR,https://ge.ch/grandconseil/gc/depute/55/,https://ge.ch/grandconseil/data/deputes/depute_photo_ac4358e6ffcc6f08d5373ca02cfb1b80.jpg,1963-01-01,Entrepreneur et producteur,m,
52,François Haldemann,François,Haldemann,R,https://ge.ch/grandconseil/gc/depute/52/,https://ge.ch/grandconseil/data/deputes/depute_photo_7eb57f1e33ea0aee0b1c6dafccb76a5b.jpg,1965-01-01,Agriculteur et administrateur,m,
48,François Gillet,François,Gillet,PDC,https://ge.ch/grandconseil/gc/depute/48/,https://ge.ch/grandconseil/data/deputes/depute_photo_550b37fa0f0eedab595b92cde06c6a7e.jpg,1959-01-01,Enseignant,m,
516,Christiane Favre,Christiane,Favre,L,https://ge.ch/grandconseil/gc/depute/516/,https://ge.ch/grandconseil/data/deputes/depute_photo_d93607111b34ce4a290008916630a4fd.jpg,1948-01-01,,f,
53,Esther Hartmann,Esther,Hartmann,Ve,https://ge.ch/grandconseil/gc/depute/53/,https://ge.ch/grandconseil/data/deputes/depute_photo_583688390fd761ce6f840bf3bdf2a087.jpg,1970-01-01,Psychologue,f,
5,Christophe Aumeunier,Christophe,Aumeunier,PLR,https://ge.ch/grandconseil/gc/depute/5/,https://ge.ch/grandconseil/data/deputes/depute_photo_6b764e604400cb54b393f4cdfccd5137.jpg,1967-01-01,Secrétaire d’association,m,
50,Roger Golay,Roger,Golay,MCG,https://ge.ch/grandconseil/gc/depute/50/,https://ge.ch/grandconseil/data/deputes/depute_photo_3deb15ee45ae92534f73bbc9127502b9.jpg,1959-01-01,Retraité,m,
49,Jean-François Girardet,Jean-François,Girardet,MCG,https://ge.ch/grandconseil/gc/depute/49/,https://ge.ch/grandconseil/data/deputes/depute_photo_6d797f0909e822bad803d7b5b1d58dfc.jpg,1953-01-01,Instituteur DIP,m,
